Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:32:20.152000,372.999,True,1.03719,1.071619,1.105909,1.098197,2025-01-16 20:38:16.181834,2025-01-16 15:38:16.181834
2025-01-16 20:32:21.151900,373.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:38:17.181734,2025-01-16 15:38:17.181734
2025-01-16 20:32:21.151925,373.999,True,1.03719,1.071274,1.105909,1.098335,2025-01-16 20:38:17.181759,2025-01-16 15:38:17.181759
2025-01-16 20:32:22.151925,374.999,False,0.757838,6.9e-05,0.0,0.0,2025-01-16 20:38:18.181759,2025-01-16 15:38:18.181759
2025-01-16 20:32:22.151925,374.999,True,1.037121,1.071481,1.106047,1.098197,2025-01-16 20:38:18.181759,2025-01-16 15:38:18.181759
2025-01-16 20:32:23.151800,375.999,False,1.03898,6.9e-05,0.0,0.0,2025-01-16 20:38:19.181634,2025-01-16 15:38:19.181634
2025-01-16 20:32:23.151800,375.999,True,1.037259,1.07155,1.106185,1.09806,2025-01-16 20:38:19.181634,2025-01-16 15:38:19.181634
2025-01-16 20:32:24.151825,376.999,False,1.19563,6.9e-05,0.0,0.0,2025-01-16 20:38:20.181659,2025-01-16 15:38:20.181659
2025-01-16 20:32:24.151925,376.999,True,1.037052,1.071481,1.105978,1.098197,2025-01-16 20:38:20.181759,2025-01-16 15:38:20.181759
2025-01-16 20:32:25.151800,377.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:38:21.181634,2025-01-16 15:38:21.181634
2025-01-16 20:32:25.151800,377.999,True,1.037259,1.071343,1.105909,1.098266,2025-01-16 20:38:21.181634,2025-01-16 15:38:21.181634
2025-01-16 20:32:26.151925,378.999,False,1.718804,6.9e-05,0.0,0.0,2025-01-16 20:38:22.181759,2025-01-16 15:38:22.181759
2025-01-16 20:32:26.151950,378.999,True,1.037259,1.071412,1.105772,1.098128,2025-01-16 20:38:22.181784,2025-01-16 15:38:22.181784
2025-01-16 20:32:27.151975,379.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:38:23.181809,2025-01-16 15:38:23.181809
2025-01-16 20:32:27.151975,379.999,True,1.037052,1.071137,1.105978,1.098335,2025-01-16 20:38:23.181809,2025-01-16 15:38:23.181809
2025-01-16 20:32:28.151775,380.999,False,2.308562,6.9e-05,0.0,0.0,2025-01-16 20:38:24.181609,2025-01-16 15:38:24.181609
2025-01-16 20:32:28.151775,380.999,True,1.036984,1.07155,1.105772,1.098128,2025-01-16 20:38:24.181609,2025-01-16 15:38:24.181609
2025-01-16 20:32:29.151800,381.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:38:25.181634,2025-01-16 15:38:25.181634
2025-01-16 20:32:29.151825,381.999,True,1.03719,1.071412,1.105978,1.098197,2025-01-16 20:38:25.181659,2025-01-16 15:38:25.181659
2025-01-16 20:32:30.151775,382.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:38:26.181609,2025-01-16 15:38:26.181609
2025-01-16 20:32:30.151800,382.999,True,1.037259,1.071205,1.105978,1.098266,2025-01-16 20:38:26.181634,2025-01-16 15:38:26.181634
2025-01-16 20:32:31.151925,383.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:38:27.181759,2025-01-16 15:38:27.181759
2025-01-16 20:32:31.152000,383.999,True,1.036984,1.071343,1.10584,1.098128,2025-01-16 20:38:27.181834,2025-01-16 15:38:27.181834
2025-01-16 20:32:32.151775,384.999,False,0.210495,6.9e-05,0.0,0.0,2025-01-16 20:38:28.181609,2025-01-16 15:38:28.181609
2025-01-16 20:32:32.151800,384.999,True,1.037052,1.071205,1.105909,1.098197,2025-01-16 20:38:28.181634,2025-01-16 15:38:28.181634
2025-01-16 20:32:33.151800,385.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:38:29.181634,2025-01-16 15:38:29.181634
2025-01-16 20:32:33.151825,385.999,True,1.03719,1.071274,1.105772,1.097922,2025-01-16 20:38:29.181659,2025-01-16 15:38:29.181659
2025-01-16 20:32:34.151825,386.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:38:30.181659,2025-01-16 15:38:30.181659
2025-01-16 20:32:34.151925,386.999,True,1.03719,1.071412,1.105909,1.09806,2025-01-16 20:38:30.181759,2025-01-16 15:38:30.181759
2025-01-16 20:32:35.151800,387.999,False,1.03898,6.9e-05,0.0,0.0,2025-01-16 20:38:31.181634,2025-01-16 15:38:31.181634
2025-01-16 20:32:35.151800,387.999,True,1.037121,1.071274,1.10584,1.098128,2025-01-16 20:38:31.181634,2025-01-16 15:38:31.181634
2025-01-16 20:32:36.151925,388.999,False,1.195423,6.9e-05,0.0,0.0,2025-01-16 20:38:32.181759,2025-01-16 15:38:32.181759
2025-01-16 20:32:36.151950,388.999,True,1.037052,1.071412,1.10584,1.098266,2025-01-16 20:38:32.181784,2025-01-16 15:38:32.181784
2025-01-16 20:32:37.151800,389.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:38:33.181634,2025-01-16 15:38:33.181634
2025-01-16 20:32:37.151800,389.999,True,1.037052,1.071274,1.105634,1.09806,2025-01-16 20:38:33.181634,2025-01-16 15:38:33.181634
2025-01-16 20:32:38.151975,390.999,False,1.718873,6.9e-05,0.0,0.0,2025-01-16 20:38:34.181809,2025-01-16 15:38:34.181809
2025-01-16 20:32:38.152000,390.999,True,1.036984,1.071205,1.10584,1.097922,2025-01-16 20:38:34.181834,2025-01-16 15:38:34.181834
2025-01-16 20:32:39.151825,391.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:38:35.181659,2025-01-16 15:38:35.181659
2025-01-16 20:32:39.151825,391.999,True,1.037259,1.071274,1.105772,1.098335,2025-01-16 20:38:35.181659,2025-01-16 15:38:35.181659
2025-01-16 20:32:40.151775,392.999,False,2.306634,6.9e-05,0.0,0.0,2025-01-16 20:38:36.181609,2025-01-16 15:38:36.181609
